ปีงบประมาณ,เลขที่โครงการ,ชื่อโครงการ,ประเภทโครงการ,วิธีการจัดหา,สถานะโครงการ,งบประมาณโครงการ,ราคากลางโครงการ,วงเงินสัญญารวม,สัญญาต่อราคากลาง,ผู้รับจ้าง,ตรวจพบความเสี่ยงทุจริต,ประเด็นเสี่ยงทุจริต
2567,67089037580,จ้างโครงการก่อสร้างถนนคอนกรีตเสริมเหล็ก บ้านห้วยน้ำริน หมู่ที่ 16 เริ่มจากถนน คสล.เดิม (ซอย 3) ถึง บ้านนายเร่ง ทองสุข โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 67089037580),จ้างทำของ/จ้างเหมาบริการ,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,372186,371774.31,371000,0.9979,ที เอ็น ดับเบิ้ลยู เชียงดาวก่อสร้าง,TRUE,เสนอราคาใกล้ราคากลาง; จัดซื้อจัดจ้างแบบเฉพาะเจาะจงท้ายปีงบประมาณ
2567,67059570954,จ้างโครงการก่อสร้างแท็งค์พักน้ำคอนกรีตเสริมเหล็ก (หย่อมบ้านนาน้อย) บ้านห้วยจะค่านหมู่ที่ 9 โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 67059570954),จ้างทำของ/จ้างเหมาบริการ,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,351500,336059.24,336000,0.9998,บุญทรวงก่อสร้าง,TRUE,เสนอราคาใกล้ราคากลาง
2567,67069314228,จ้างโครงการก่อสร้างรางระบายน้ำคอนกรีตเสริมเหล็กรูปตัวยู พร้อมฝาปิด หย่อมบ้านสรรเสริญ-ดอยนาง บ้านห้วยจะค่าน หมู่ที่ 9 จากบ้านนายเปตาลุ ตามา ถึงบ้านนายจะสอ จะภู โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 67069314228),จ้างทำของ/จ้างเหมาบริการ,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,213000,211453.07,211000,0.9979,ที เอ็น ดับเบิ้ลยู เชียงดาวก่อสร้าง,TRUE,เสนอราคาใกล้ราคากลาง
2567,67059040701,จ้างโครงการปรับปรุงเสียงตามสายประจำหมู่บ้าน บ้านปางมะกง หมู่ที่ 11 โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 67059040701),เช่า,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,162700,141199.53,141100,0.9993,ทิกเกอร์ซาวด์แอนด์อิเล็กทรอนิกส์,TRUE,เสนอราคาใกล้ราคากลาง
2567,67049473087,จ้างโครงการก่อสร้างถนนคอนกรีตเสริมเหล็ก บ้านปางเฟือง หมู่ที่ 2 จากถนน คสล.เดิม - สวนนายสุวิทย์ อุดทาเศษ โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 67049473087),จ้างทำของ/จ้างเหมาบริการ,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,124700,123311.61,123300,0.9999,ที เอ็น ดับเบิ้ลยู เชียงดาวก่อสร้าง,TRUE,เสนอราคาใกล้ราคากลาง
2567,67029147941,จ้างโครงการก่อสร้างถนนคอนกรีตเสริมเหล็ก บ้านหนองเต่า หมู่ที่ 15 จากบ้านนางนาแต๋ ป่าโล๊ะ ถึง บ้านนายจะสอ แอแต๋ โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 67029147941),จ้างทำของ/จ้างเหมาบริการ,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,110000,99411.85,99400,0.9999,ที เอ็น ดับเบิ้ลยู เชียงดาวก่อสร้าง,TRUE,เสนอราคาใกล้ราคากลาง
2567,67029323326,จ้างโครงการปรับปรุงผิวจราจรลูกรังบดอัดแน่น (หย่อมบ้านใหม่อรุณ)บ้านแม่มะกู้ หมู่ที่ 12 จากสนามกีฬาหมู่บ้าน - ถนนลาดยางบ้านแม่ป๋าม) ยาว 900 เมตร โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 67029323326),จ้างทำของ/จ้างเหมาบริการ,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,99600,93884,93800,0.9991,ที เอ็น ดับเบิ้ลยู เชียงดาวก่อสร้าง,TRUE,เสนอราคาใกล้ราคากลาง
2567,67039027606,จ้างโครงการก่อสร้างถนนคอนกรีตเสริมเหล็ก บ้านห้วยลึก หมู่ที่ 7 จากบ้านนายท้ง แซ่ลี - บ้านนายสินชัย แซ่หาญ โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 67039027606),จ้างทำของ/จ้างเหมาบริการ,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,76400,75956.03,75900,0.9993,ที เอ็น ดับเบิ้ลยู เชียงดาวก่อสร้าง,TRUE,เสนอราคาใกล้ราคากลาง
2567,67049384050,จ้างซ่อมแซมถนนลูกรังเป็นช่วง ๆ พร้อมปรับเกลี่ยถนน (หย่อมบ้านถ้ำแกลบ) บ้านห้วยลึก หมู่ที่ 7 จำนวน 4 จุด โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 67049384050),เช่า,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,58677,58677,58600,0.9987,นายณัฐพล เลาหาง,TRUE,เสนอราคาใกล้ราคากลาง
2567,67079181360,ซื้อแว่นตา ตามโครงการคัดกรองความผิดปกติสายตาและแก้ไขปัญหาการมองเห็นไม่ชัดในกลุ่มของสูงอายุ จำนวน 2 รายการ โดยวิธีเฉพาะเจาะจง (เลขที่โครงการ : 67079181360),จ้างก่อสร้าง,เฉพาะเจาะจง,จัดทำสัญญา/PO แล้ว,57100,57100,57100,1,ร้านเเว่นตานายก,TRUE,จัดซื้อจัดจ้างแบบเฉพาะเจาะจงท้ายปีงบประมาณ
